# Trigger counts and POT exposures are taken from the searching4nues
# spreadsheet: tinyurl.com/pelee-nue-ntuples
# file_name run file_type [triggers POT (for data only)]
#
# Beam-off data
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-data_extbnb_mcc9.1_v08_00_00_25_reco2_C_all_reco2.root 1 extBNB 65498807 0
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-data_extbnb_mcc9.1_v08_00_00_25_reco2_D_E_all_reco2.root 2 extBNB 152404890 0
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-data_extbnb_mcc9.1_v08_00_00_25_reco2_F_G_all_reco2.root 3 extBNB 214555174 0
#
# Full beam-on data
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-run1_neutrinoselection_filt_numu_ALL.root 1 onBNB 36139233 1.62e20
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-run2_neutrinoselection_filt_numu_ALL.root 2 onBNB 62045760 2.62e20
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-run3_neutrinoselection_filt_numu_ALL.root 3 onBNB 61012955 2.55e20
#
# Dirt MC samples
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_dirt_overlay_mcc9.1_v08_00_00_26_run1_reco2_reco2.root 1 dirtMC
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_dirt_overlay_v08_00_00_35_all_run2_reco2_reco2.root 2 dirtMC
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_dirt_overlay_mcc9.1_v08_00_00_26_run3_reco2_reco2.root 3 dirtMC
#
# Intrinsic nue MC samples
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_intrinsice_nue_uboone_overlay_mcc9.1_v08_00_00_26_run1_reco2_reco2.root 1 nueMC
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_intrinsic_nue_overlay_run2_v08_00_00_35_run2a_reco2_reco2.root 2 nueMC
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_intrinsice_nue_uboone_overlay_mcc9.1_v08_00_00_26_run3_reco2_reco2.root 3 nueMC
#
# numu MC samples
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_nu_uboone_overlay_mcc9.1_v08_00_00_26_filter_run1_reco2_reco2.root 1 numuMC
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_nu_uboone_overlay_mcc9.1_v08_00_00_26_filter_run2_reco2_D1D2_reco2.root 2 numuMC
/exp/uboone/data/users/fmlopez/proton_multiplicity_ntuples/xsec-ana-prodgenie_bnb_nu_uboone_overlay_mcc9.1_v08_00_00_26_filter_run3_reco2_G_reco2.root 3 numuMC
